,Rk,Team,Payroll,Adj_Payroll,Year,Conference
0,1.,Cleveland,14403000.0,28400511.0,1990/91,Eastern
1,2.,New York,13290000.0,26205847.0,1990/91,Eastern
2,3.,Detroit,12910000.0,25456546.0,1990/91,Eastern
3,4.,LA Lakers,12120000.0,23898788.0,1990/91,Western
4,5.,Atlanta,11761000.0,23190893.0,1990/91,Eastern
5,6.,Dallas,11693000.0,23056806.0,1990/91,Western
6,7.,Philadelphia,11640000.0,22952300.0,1990/91,Eastern
7,8.,Milwaukee,11595000.0,22863565.0,1990/91,Eastern
8,9.,Phoenix,11463000.0,22603283.0,1990/91,Western
9,10.,Brooklyn,11410000.0,22498774.0,1990/91,Eastern
10,11.,Boston,11256000.0,22195108.0,1990/91,Eastern
11,12.,Portland,11215000.0,22114265.0,1990/91,Western
12,13.,Golden State,11150000.0,21986093.0,1990/91,Western
13,14.,San Antonio,11057000.0,21802712.0,1990/91,Western
14,15.,Indiana,10981000.0,21652854.0,1990/91,Eastern
15,16.,Utah,10695000.0,21088904.0,1990/91,Western
16,17.,Oklahoma City,10590000.0,20881860.0,1990/91,Western
17,18.,Houston,10500000.0,20704394.0,1990/91,Western
18,19.,Charlotte,10417000.0,20540730.0,1990/91,Eastern
19,20.,Denver,10335000.0,20379037.0,1990/91,Western
20,21.,LA Clippers,10245000.0,20201572.0,1990/91,Western
21,22.,Chicago,10040000.0,19797344.0,1990/91,Eastern
22,23.,Washington,9610000.0,18949450.0,1990/91,Eastern
23,24.,Sacramento,9605000.0,18939591.0,1990/91,Western
24,25.,Miami,8510000.0,16780417.0,1990/91,Eastern
25,26.,Minnesota,7540000.0,14867725.0,1990/91,Western
26,27.,Orlando,7532000.0,14851950.0,1990/91,Eastern
0,1.,Boston,25343000.0,47731109.0,1991/92,Eastern
1,2.,Cleveland,16882000.0,31795625.0,1991/92,Eastern
2,3.,Chicago,16829000.0,31695804.0,1991/92,Eastern
3,4.,LA Lakers,15673000.0,29518589.0,1991/92,Western
4,5.,Detroit,15428000.0,29057155.0,1991/92,Eastern
5,6.,Indiana,15090000.0,28420564.0,1991/92,Eastern
6,7.,Philadelphia,14058000.0,26476889.0,1991/92,Eastern
7,8.,Phoenix,13593000.0,25601110.0,1991/92,Western
8,9.,Oklahoma City,13308000.0,25064338.0,1991/92,Western
9,10.,Houston,13274000.0,25000304.0,1991/92,Western
10,11.,Dallas,13004000.0,24491783.0,1991/92,Western
11,12.,LA Clippers,12976000.0,24439050.0,1991/92,Western
12,13.,Atlanta,12930000.0,24352412.0,1991/92,Eastern
13,14.,Utah,12761000.0,24034117.0,1991/92,Western
14,15.,Portland,12742000.0,23998331.0,1991/92,Western
15,16.,Washington,12633000.0,23793041.0,1991/92,Eastern
16,17.,Charlotte,12625000.0,23777974.0,1991/92,Eastern
17,18.,Brooklyn,12598000.0,23727122.0,1991/92,Eastern
18,19.,Golden State,12500000.0,23542550.0,1991/92,Western
19,20.,Sacramento,12492000.0,23527480.0,1991/92,Western
20,21.,Milwaukee,12451000.0,23450261.0,1991/92,Eastern
21,22.,New York,12399000.0,23352323.0,1991/92,Eastern
22,23.,Orlando,12250000.0,23071699.0,1991/92,Eastern
23,24.,Denver,11879000.0,22372953.0,1991/92,Western
24,25.,San Antonio,11587000.0,21822996.0,1991/92,Western
25,26.,Miami,11514000.0,21685509.0,1991/92,Eastern
26,27.,Minnesota,10763000.0,20271074.0,1991/92,Western
0,1.,Boston,25217000.0,46071017.0,1992/93,Eastern
1,2.,Cleveland,19676000.0,35947709.0,1992/93,Eastern
2,3.,LA Lakers,18851000.0,34440446.0,1992/93,Western
3,4.,Chicago,18536000.0,33864948.0,1992/93,Eastern
4,5.,San Antonio,18083000.0,33037323.0,1992/93,Western
5,6.,Atlanta,18036000.0,32951455.0,1992/93,Eastern
