,Rank,Team,Wins Overall,Losses Overall,Wins Home,Losses Home,Wins Road,Losses Road,Perc_WinHome,Perc_LossHome,Perc_WinRoad,Perc_LossRoad,Year,difference
0,1,Cleveland Cavaliers,66,16,39,2,27,14,95.1219512195122,4.878048780487805,65.85365853658537,34.146341463414636,2009,29.268292682926827
1,2,Los Angeles Lakers,65,17,36,5,29,12,87.8048780487805,12.195121951219512,70.73170731707317,29.268292682926827,2009,17.07317073170732
2,3,Boston Celtics,62,20,35,6,27,14,85.36585365853658,14.634146341463413,65.85365853658537,34.146341463414636,2009,19.51219512195121
3,4,Orlando Magic,59,23,32,9,27,14,78.04878048780488,21.951219512195124,65.85365853658537,34.146341463414636,2009,12.195121951219505
4,5,Denver Nuggets,54,28,33,8,21,20,80.48780487804879,19.51219512195122,51.21951219512195,48.78048780487805,2009,29.26829268292684
5,6,Portland Trail Blazers,54,28,34,7,20,21,82.92682926829268,17.073170731707318,48.78048780487805,51.21951219512195,2009,34.14634146341463
6,7,San Antonio Spurs,54,28,28,13,26,15,68.29268292682927,31.70731707317073,63.41463414634146,36.58536585365854,2009,4.878048780487809
7,8,Houston Rockets,53,29,33,8,20,21,80.48780487804879,19.51219512195122,48.78048780487805,51.21951219512195,2009,31.707317073170742
8,9,Dallas Mavericks,50,32,32,9,18,23,78.04878048780488,21.951219512195124,43.90243902439025,56.09756097560976,2009,34.14634146341463
9,10,New Orleans Pelicans,49,33,28,13,21,20,68.29268292682927,31.70731707317073,51.21951219512195,48.78048780487805,2009,17.07317073170732
10,11,Utah Jazz,48,34,33,8,15,26,80.48780487804879,19.51219512195122,36.58536585365854,63.41463414634146,2009,43.902439024390254
11,12,Atlanta Hawks,47,35,31,10,16,25,75.60975609756098,24.390243902439025,39.02439024390244,60.97560975609756,2009,36.58536585365854
12,13,Phoenix Suns,46,36,28,13,18,23,68.29268292682927,31.70731707317073,43.90243902439025,56.09756097560976,2009,24.390243902439025
13,14,Miami Heat,43,39,28,13,15,26,68.29268292682927,31.70731707317073,36.58536585365854,63.41463414634146,2009,31.707317073170735
14,15,Chicago Bulls,41,41,28,13,13,28,68.29268292682927,31.70731707317073,31.70731707317073,68.29268292682927,2009,36.585365853658544
15,16,Philadelphia 76ers,41,41,24,17,17,24,58.536585365853654,41.46341463414634,41.46341463414634,58.536585365853654,2009,17.073170731707314
16,17,Detroit Pistons,39,43,21,20,18,23,51.21951219512195,48.78048780487805,43.90243902439025,56.09756097560976,2009,7.317073170731703
17,18,Indiana Pacers,36,46,25,16,11,30,60.97560975609756,39.02439024390244,26.82926829268293,73.17073170731707,2009,34.14634146341463
18,19,Charlotte Hornets,35,47,23,18,12,29,56.09756097560976,43.90243902439025,29.268292682926827,70.73170731707317,2009,26.829268292682933
19,20,Milwaukee Bucks,34,48,22,19,12,29,53.65853658536586,46.34146341463415,29.268292682926827,70.73170731707317,2009,24.390243902439032
20,21,Brooklyn Nets,34,48,19,22,15,26,46.34146341463415,53.65853658536586,36.58536585365854,63.41463414634146,2009,9.756097560975611
21,22,Toronto Raptors,33,49,18,23,15,26,43.90243902439025,56.09756097560976,36.58536585365854,63.41463414634146,2009,7.31707317073171
22,23,New York Knicks,32,50,20,21,12,29,48.78048780487805,51.21951219512195,29.268292682926827,70.73170731707317,2009,19.512195121951223
23,24,Golden State Warriors,29,53,21,20,8,33,51.21951219512195,48.78048780487805,19.51219512195122,80.48780487804879,2009,31.70731707317073
24,25,Memphis Grizzlies,24,58,16,25,8,33,39.02439024390244,60.97560975609756,19.51219512195122,80.48780487804879,2009,19.51219512195122
25,26,Minnesota Timberwolves,24,58,11,30,13,28,26.82926829268293,73.17073170731707,31.70731707317073,68.29268292682927,2009,-4.878048780487802
26,27,Oklahoma City Thunder,23,59,15,26,8,33,36.58536585365854,63.41463414634146,19.51219512195122,80.48780487804879,2009,17.073170731707318
27,28,Los Angeles Clippers,19,63,11,30,8,33,26.82926829268293,73.17073170731707,19.51219512195122,80.48780487804879,2009,7.31707317073171
28,29,Washington Wizards,19,63,13,28,6,35,31.70731707317073,68.29268292682927,14.634146341463413,85.36585365853658,2009,17.073170731707318
29,30,Sacramento Kings,17,65,11,30,6,35,26.82926829268293,73.17073170731707,14.634146341463413,85.36585365853658,2009,12.195121951219516
0,1,Cleveland Cavaliers,61,21,35,6,26,15,85.36585365853658,14.634146341463413,63.41463414634146,36.58536585365854,2010,21.951219512195117
1,2,Orlando Magic,59,23,34,7,25,16,82.92682926829268,17.073170731707318,60.97560975609756,39.02439024390244,2010,21.951219512195117
2,3,Los Angeles Lakers,57,25,34,7,23,18,82.92682926829268,17.073170731707318,56.09756097560976,43.90243902439025,2010,26.82926829268292
3,4,Dallas Mavericks,55,27,28,13,27,14,68.29268292682927,31.70731707317073,65.85365853658537,34.146341463414636,2010,2.439024390243901
4,5,Phoenix Suns,54,28,32,9,22,19,78.04878048780488,21.951219512195124,53.65853658536586,46.34146341463415,2010,24.390243902439018
5,6,Atlanta Hawks,53,29,34,7,19,22,82.92682926829268,17.073170731707318,46.34146341463415,53.65853658536586,2010,36.58536585365853
6,7,Denver Nuggets,53,29,34,7,19,22,82.92682926829268,17.073170731707318,46.34146341463415,53.65853658536586,2010,36.58536585365853
7,8,Utah Jazz,53,29,32,9,21,20,78.04878048780488,21.951219512195124,51.21951219512195,48.78048780487805,2010,26.829268292682926
8,9,Boston Celtics,50,32,24,17,26,15,58.536585365853654,41.46341463414634,63.41463414634146,36.58536585365854,2010,-4.878048780487809
9,10,Oklahoma City Thunder,50,32,27,14,23,18,65.85365853658537,34.146341463414636,56.09756097560976,43.90243902439025,2010,9.756097560975611
10,11,Portland Trail Blazers,50,32,26,15,24,17,63.41463414634146,36.58536585365854,58.536585365853654,41.46341463414634,2010,4.878048780487809
11,12,San Antonio Spurs,50,32,29,12,21,20,70.73170731707317,29.268292682926827,51.21951219512195,48.78048780487805,2010,19.512195121951223
12,13,Miami Heat,47,35,24,17,23,18,58.536585365853654,41.46341463414634,56.09756097560976,43.90243902439025,2010,2.439024390243894
13,14,Milwaukee Bucks,46,36,28,13,18,23,68.29268292682927,31.70731707317073,43.90243902439025,56.09756097560976,2010,24.390243902439025
14,15,Charlotte Hornets,44,38,31,10,13,28,75.60975609756098,24.390243902439025,31.70731707317073,68.29268292682927,2010,43.90243902439025
15,16,Houston Rockets,42,40,23,18,19,22,56.09756097560976,43.90243902439025,46.34146341463415,53.65853658536586,2010,9.756097560975611
16,17,Chicago Bulls,41,41,24,17,17,24,58.536585365853654,41.46341463414634,41.46341463414634,58.536585365853654,2010,17.073170731707314
17,18,Memphis Grizzlies,40,42,23,18,17,24,56.09756097560976,43.90243902439025,41.46341463414634,58.536585365853654,2010,14.63414634146342
18,19,Toronto Raptors,40,42,25,16,15,26,60.97560975609756,39.02439024390244,36.58536585365854,63.41463414634146,2010,24.390243902439025
19,20,New Orleans Pelicans,37,45,24,17,13,28,58.536585365853654,41.46341463414634,31.70731707317073,68.29268292682927,2010,26.829268292682922
20,21,Indiana Pacers,32,50,23,18,9,32,56.09756097560976,43.90243902439025,21.951219512195124,78.04878048780488,2010,34.146341463414636
21,22,Los Angeles Clippers,29,53,21,20,8,33,51.21951219512195,48.78048780487805,19.51219512195122,80.48780487804879,2010,31.70731707317073
22,23,New York Knicks,29,53,18,23,11,30,43.90243902439025,56.09756097560976,26.82926829268293,73.17073170731707,2010,17.073170731707318
